Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,R Nose Enter,L Nose Enter,On1A3,Feeder Enter,R Nose Exit,L Nose Exit,Off1A3,Feeder Exit
,,FR1-cued-R,,11,,20,405.935,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,413.210,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,413.830,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,413.850,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,414.401,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,416.125,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,418.535,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,422.270,4,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,422.575,4,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,426.126,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,430.046,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,431.565,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,437.300,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,437.320,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,437.375,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,438.600,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,438.710,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,438.720,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,441.535,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,445.040,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,445.401,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,448.600,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,449.460,1,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,450.045,1,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,451.230,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,451.250,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,451.580,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,452.765,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,459.915,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,460.225,4,0,0,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,461.145,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,462.765,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,466.640,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,466.660,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,466.945,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,466.956,3,0,0,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,467.110,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,468.345,3,4,4,0,0,0,1,0,0,0,0
,,FR1-cued-R,,11,,20,470.361,4,0,0,0,0,0,0,0,0,0,1
,,FR1-cued-R,,11,,20,478.345,4,1,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,479.850,1,2,1,1,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,479.870,2,3,0,0,0,0,0,0,0,0,0
,,FR1-cued-R,,11,,20,480.050,3,0,0,0,0,0,0,1,0,0,0
,,FR1-cued-R,,11,,20,481.015,3,4,4,0,0,0,1,0,0,0,0
